STT,YearStudy,TermID,DepartmentID,CurriculumID,ProfessorID,SLSV_lechden3ruoi,SLSV_lechtren3ruoiden5,SLSV_lechtren5,SLSV,phtram_lechden3ruoi,phtram_lechtren3ruoiden5,phtram_lechtren5,CanhBao
737,2014-2015,HK02,1879,1279250,562,46,0,0,46,100.0,0.0,0.0,
738,2014-2015,HK02,1879,CLCO432779,22,156,19,2,177,88.1,10.7,1.1,
739,2014-2015,HK02,1879,INSE340379,3995,44,12,17,73,60.3,16.4,23.3,
740,2014-2015,HK02,1879,INSE340379,9085,100,6,6,112,89.3,5.4,5.4,
741,2014-2015,HK02,1879,MOPR331279,2150,110,0,0,110,100.0,0.0,0.0,
742,2014-2015,HK02,1879,OOSD330879,9153,84,8,0,92,91.3,8.7,0.0,
743,2014-2015,HK02,1879,OOSD330879,22,13,0,0,13,100.0,0.0,0.0,
744,2014-2015,HK02,1879,SOEN340679,24,41,3,1,45,91.1,6.7,2.2,
745,2014-2015,HK02,1879,WESE431479,3995,81,4,0,85,95.3,4.7,0.0,
746,2014-2015,HK02,1879,WESE431479,1290,14,0,0,14,100.0,0.0,0.0,
747,2014-2015,HK02,1879,WIPR240579,2150,180,0,0,180,100.0,0.0,0.0,
748,2014-2015,HK02,1880,1280040,3984,52,17,4,73,71.2,23.3,5.5,
749,2014-2015,HK02,1880,ADNT330580,9732,35,1,0,36,97.2,2.8,0.0,
750,2014-2015,HK02,1880,ADNT330580,4124,16,0,0,16,100.0,0.0,0.0,
751,2014-2015,HK02,1880,CAAL240180,9979,122,23,0,145,84.1,15.9,0.0,
752,2014-2015,HK02,1880,DCTE330480,9979,44,7,1,52,84.6,13.5,1.9,
753,2014-2015,HK02,1880,ESYS431080,9979,130,0,0,130,100.0,0.0,0.0,
754,2014-2015,HK02,1880,NEES340380,9732,52,1,0,53,98.1,1.9,0.0,
755,2014-2015,HK02,1880,OPSY340280,9104,11,10,31,52,21.2,19.2,59.6,Cảnh báo điểm QT cao nhiều so với điểm thi
756,2014-2015,HK02,1880,UNOS330680,1138,30,12,5,47,63.8,25.5,10.6,
757,2014-2015,HK02,1881,1081021,2234,48,18,45,111,43.2,16.2,40.5,Cảnh báo điểm QT cao nhiều so với điểm thi
758,2014-2015,HK02,1881,1081021,9104,78,14,5,97,80.4,14.4,5.2,
759,2014-2015,HK02,1881,1081021,3995,41,7,9,57,71.9,12.3,15.8,
760,2014-2015,HK02,1881,1081021,2149,45,6,1,52,86.5,11.5,1.9,
761,2014-2015,HK02,1881,1081021,3984,41,5,0,46,89.1,10.9,0.0,
762,2014-2015,HK02,1881,1081021,9163,40,5,1,46,87.0,10.9,2.2,
763,2014-2015,HK02,1881,1081021,562,35,5,7,47,74.5,10.6,14.9,
764,2014-2015,HK02,1881,1081021,298,35,4,2,41,85.4,9.8,4.9,
765,2014-2015,HK02,1881,1081021,2151,16,1,0,17,94.1,5.9,0.0,
766,2014-2015,HK02,1881,DASA240179,24,34,15,5,54,63.0,27.8,9.3,
767,2014-2015,HK02,1881,DASA240179,562,23,6,2,31,74.2,19.4,6.5,
768,2014-2015,HK02,1881,DASA240179,23,52,5,1,58,89.7,8.6,1.7,
769,2014-2015,HK02,1884,1284212,2149,34,0,0,34,100.0,0.0,0.0,
770,2014-2015,HK02,1884,1284213,9153,27,2,0,29,93.1,6.9,0.0,
771,2014-2015,HK02,1884,DAMI330484,3984,39,6,0,45,86.7,13.3,0.0,
772,2014-2015,HK02,1884,DBMS340284,1147,26,0,0,26,100.0,0.0,0.0,
152,2014-2015,HK02,164,DSPR431264,390,39,11,4,54,72.2,20.4,7.4,
153,2014-2015,HK02,164,DSPR431264,2206,78,8,0,86,90.7,9.3,0.0,
154,2014-2015,HK02,164,DSPR431264,984,132,9,2,143,92.3,6.3,1.4,
155,2014-2015,HK02,164,DSPR431264,9385,212,3,1,216,98.1,1.4,0.5,
156,2014-2015,HK02,164,EMSY427764,2080,193,1,0,194,99.5,0.5,0.0,
157,2014-2015,HK02,164,EMSY427764,2200,39,0,0,39,100.0,0.0,0.0,
158,2014-2015,HK02,164,EMSY427764,438,81,0,0,81,100.0,0.0,0.0,
159,2014-2015,HK02,164,EMSY435664,2200,46,1,0,47,97.9,2.1,0.0,
1,2015-2016,HK01,144,EEMA320544,2202,239,60,14,313,76.4,19.2,4.5,
2,2015-2016,HK01,144,EEMA320544,1032,133,4,0,137,97.1,2.9,0.0,
3,2015-2016,HK01,144,ELCI140144,1207,67,77,61,205,32.7,37.6,29.8,Cảnh báo điểm QT cao nhiều so với điểm thi
4,2015-2016,HK01,144,ELCI140144,1023,263,131,41,435,60.5,30.1,9.4,
5,2015-2016,HK01,144,ELCI140144,2922,6,9,15,30,20.0,30.0,50.0,Cảnh báo điểm QT cao nhiều so với điểm thi
6,2015-2016,HK01,144,ELCI140144,1142,66,61,86,213,31.0,28.6,40.4,Cảnh báo điểm QT cao nhiều so với điểm thi
7,2015-2016,HK01,144,ELEN232044,2143,134,24,12,170,78.8,14.1,7.1,
8,2015-2016,HK01,144,ELEQ220944,269,74,0,0,74,100.0,0.0,0.0,
9,2015-2016,HK01,144,ELFI220344,2202,62,1,0,63,98.4,1.6,0.0,
10,2015-2016,HK01,144,ELIN320444,6304,70,28,12,110,63.6,25.5,10.9,
11,2015-2016,HK01,144,ELIN320444,4710,31,3,0,34,91.2,8.8,0.0,
12,2015-2016,HK01,144,ELIN320444,1032,279,19,1,299,93.3,6.4,0.3,
13,2015-2016,HK01,144,ELMA240344,4710,35,1,0,36,97.2,2.8,0.0,
14,2015-2016,HK01,144,ELMA340344,269,45,48,42,135,33.3,35.6,31.1,Cảnh báo điểm QT cao nhiều so với điểm thi
15,2015-2016,HK01,144,ELMA340344,2205,105,48,16,169,62.1,28.4,9.5,
16,2015-2016,HK01,144,ELMA340344,2133,13,19,35,67,19.4,28.4,52.2,Cảnh báo điểm QT cao nhiều so với điểm thi
17,2015-2016,HK01,144,ELMA340344,2922,22,2,0,24,91.7,8.3,0.0,
18,2015-2016,HK01,144,ELMA340344,1024,24,0,0,24,100.0,0.0,0.0,
19,2015-2016,HK01,144,EMAP240944,6304,65,3,6,74,87.8,4.1,8.1,
20,2015-2016,HK01,144,EMCE321744,4710,48,1,2,51,94.1,2.0,3.9,
21,2015-2016,HK01,144,EMIN130244,37,30,7,4,41,73.2,17.1,9.8,
22,2015-2016,HK01,144,EMIN230244,9319,156,36,5,197,79.2,18.3,2.5,
23,2015-2016,HK01,144,EMIN230244,1208,33,1,0,34,97.1,2.9,0.0,
24,2015-2016,HK01,144,EMIN330244,9319,139,57,13,209,66.5,27.3,6.2,
25,2015-2016,HK01,144,EMIN330244,37,30,8,6,44,68.2,18.2,13.6,
26,2015-2016,HK01,144,EMIN330244,1207,27,1,0,28,96.4,3.6,0.0,
27,2015-2016,HK01,144,EMIN330244,1208,346,5,1,352,98.3,1.4,0.3,
28,2015-2016,HK01,144,SEMA321644,269,33,0,0,33,100.0,0.0,0.0,
29,2015-2016,HK01,144,SEMA321644,1024,10,0,0,10,100.0,0.0,0.0,
30,2015-2016,HK01,145,1245210,2110,41,0,0,41,100.0,0.0,0.0,
31,2015-2016,HK01,145,1245230,9119,34,0,0,34,100.0,0.0,0.0,
32,2015-2016,HK01,145,ELCD321545,1007,95,52,8,155,61.3,33.5,5.2,
33,2015-2016,HK01,145,ELDR330545,7036,88,30,8,126,69.8,23.8,6.3,
34,2015-2016,HK01,145,ELDR330545,1007,23,0,0,23,100.0,0.0,0.0,
35,2015-2016,HK01,145,ELPS330345,2091,254,15,0,269,94.4,5.6,0.0,
36,2015-2016,HK01,145,ELPS330345,1002,125,7,0,132,94.7,5.3,0.0,
37,2015-2016,HK01,145,ELPS330345,1178,47,2,0,49,95.9,4.1,0.0,
38,2015-2016,HK01,145,ELPS330345,2110,125,1,0,126,99.2,0.8,0.0,
39,2015-2016,HK01,145,ELSA320245,37,49,3,0,52,94.2,5.8,0.0,
40,2015-2016,HK01,145,ELSA320245,2110,57,1,0,58,98.3,1.7,0.0,
41,2015-2016,HK01,145,ELSA320245,1003,646,1,0,647,99.8,0.2,0.0,
42,2015-2016,HK01,145,ELSA320245,1002,136,0,0,136,100.0,0.0,0.0,
43,2015-2016,HK01,145,ELSA320245,1178,120,0,0,120,100.0,0.0,0.0,
44,2015-2016,HK01,145,IDMA322245,1007,101,6,0,107,94.4,5.6,0.0,
45,2015-2016,HK01,145,LTRI321345,7037,17,0,0,17,100.0,0.0,0.0,
46,2015-2016,HK01,145,PAEE321845,7037,73,12,2,87,83.9,13.8,2.3,
47,2015-2016,HK01,145,PJMA322345,1007,284,24,3,311,91.3,7.7,1.0,
48,2015-2016,HK01,145,POSY330445,9255,31,0,0,31,100.0,0.0,0.0,
49,2015-2016,HK01,145,PPTS421645,9255,53,1,0,54,98.1,1.9,0.0,
50,2015-2016,HK01,145,PSAS430845,9255,208,1,0,209,99.5,0.5,0.0,
51,2015-2016,HK01,145,RENE321745,7037,22,0,0,22,100.0,0.0,0.0,
52,2015-2016,HK01,145,RPAE320745,4690,215,11,2,228,94.3,4.8,0.9,
53,2015-2016,HK01,145,RPAE320745,4694,68,2,0,70,97.1,2.9,0.0,
54,2015-2016,HK01,145,RPAE320745,9255,72,0,0,72,100.0,0.0,0.0,
