CurriculumID,CurriculumName,Credits,GraduateLevelID,CurriculumGroupID,DepartmentID,ForeignName
1251310,May CN  và  BTL QTSX hàng may CN,3,DH,NC,651,
1251320,Giác sơ đồ NC trên máy VT (TN),2,DH,GC,651,
1251341,Công nghệ may trang phục 1,2,DH,NC,651,Technology of Costume Sewing 1
1251342,Công nghệ may trang phục 2,3,DH,NC,651,Technology of Costume Sewing 2
1251343,Công nghệ may trang phục 3,3,DH,NC,651,Technology of Costume Sewing 3
1251350,Hệ thống cỡ số trang phục,2,DH,NC,651,Sizing Systems for Ready-to-wear Clothing
1251361,Tin học ứng dụng ngành may 1,2,DH,NC,651,Applied Informatics in the Fashion Industry 1
1251362,Tin học ứng dụng ngành may 2,4,DH,NC,651,Applied Informatics in the Fashion Industry 2
1251363,TT Tin học ứng dụng ngành may1,1,DH,NC,651,Applied IT in the Garment Industry Practice 1
1251364,TT Tin học ƯD ngành may 2,2,DH,NC,651,Applied IT in the Garment Industry Practice 2
1251365,TT Tin học ƯD ngành may 1 (CT),2,DH,NC,651,Applied IT in the Garment Industry Practice 1
1251370,Bánh Âu á,2,DH,NC,651,Eurasian Cakes
1251380,Tin học ứng dụng ngành may,3,DH,NC,651,Applied Informatics in the Fashion Industry
1251381,TT Tin học ứng dụng ngành may,2,DH,NC,651,Applied IT in the Garment Industry Practice
1251390,Trang trí bánh kem,1,DH,NC,651,
1251400,Hệ thống cỡ số trang phục (K08,1,DH,NC,651,Sizing Systems for Ready-to-wear Clothing
1251401,Thiết kế dựng hình 1(AP nữ),2,DH,NC,651,Model Design 1
1251402,Thiết kế dựng hình 2 (AP nam),2,DH,NC,651,Model Design 2
1251403,Thiết kế dựng hình 3 (YPTT),1,DH,NC,651,Model Design 3
1251404,Thiết kế dựng hình 4 (Vest),1,DH,NC,651,Model Design 4
1251410,Tkế dựng hình và  GSĐ trên máy VT,4,DH,NC,651,
1251420,TT TKế dựng hình  và GSĐ trên MVT,1,DH,NC,651,
1251430,Thiết kế dựng hình tổng hợp,4,DH,NC,651,General Model Design
1251440,XD khẩu phần trên máy Vi tính,2,DH,NC,651,
1251446,Trang điểm,1,DH,NC,651,Make up
1251450,TT Trang điểm,1,DH,NC,651,Make up Practice
1251460,Phát triển sản phẩm mới,1,DH,NC,651,Development of new products
1251470,Quản lý bếp ăn công nghiệp,1,DH,NC,651,Industry Kitchen Management
1251480,Chuyên đề 2,2,DH,NC,651,Special Subject 2
1251490,"Nguyên liệu may, phụ liệu may",2,DH,NC,651,
1251610,Quản lý chất lượng trang phục,2,DH,NC,651,Costume Quality Management
1251620,Tiếp thị  và  kdoanh hàng may mặc,1,DH,NC,651,Clothing Business and Marketing
